drug,metabolite,drug_name,metabolite_name,chembl_id,uniprot_id,bioactivity_type,bioactivity_drug,bioactivity_metabolite,relation_drug,relation_metabolite,source_drug,source_metabolite,source_lagom,logp_drug,logp_metabolite,tpsa_drug,tpsa_metabolite,logd_drug,logd_metabolite,target_classification,template r=0,subset
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,CAFFEINE,THEOBROMINE,CHEMBL251,P29274,pIC50,5.02,3.6,=,<,Both,Both,DrugBank,-1.03,-1.04,61.82,72.68,0.273,-0.275,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,C-[n;H0;D3;+0:1]>>[nH;D2;+0:1],DM- set
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CAFFEINE,AMBUPHYLLINE,CHEMBL251,P29274,pKd,5.26,5.44,=,=,BindingDB,BindingDB,DrugBank,-1.03,-1.04,61.82,72.68,0.273,-0.093,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,C-[n;H0;D3;+0:1]>>[nH;D2;+0:1],DM- set
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,CAFFEINE,AMBUPHYLLINE,CHEMBL255,P29275,pKi,5.0,5.11,=,=,Both,BindingDB,DrugBank,-1.03,-1.04,61.82,72.68,0.273,-0.093,membrane receptor  7tm1  smallmol  nucleotide-like receptor  adenosine receptor,C-[n;H0;D3;+0:1]>>[nH;D2;+0:1],DM- set
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,VENLAFAXINE,DESVENLAFAXINE,CHEMBL222,P23975,pKi,5.85,5.86,=,=,BindingDB,Both,Both,3.04,2.73,32.7,43.7,1.621,1.293,transporter  electrochemical  slc  slc06,C-[O;H0;D2;+0:1]>>[OH;D1;+0:1],DM- set
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,VENLAFAXINE,DESVENLAFAXINE,CHEMBL228,P31645,pKi,7.42,7.76,=,=,BindingDB,Both,Both,3.04,2.73,32.7,43.7,1.621,1.293,transporter  electrochemical  slc  slc06,C-[O;H0;D2;+0:1]>>[OH;D1;+0:1],DM+ set
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,MORPHINE,CODEINE,CHEMBL233,P35372,pKi,8.75,6.59,=,=,Both,BindingDB,DrugBank,1.2,1.5,52.93,41.93,0.915,0.897,membrane receptor  7tm1  peptide  short peptide  opioid receptor,[CH;D2;+0:1]=[CH;D2;+0:2]-[CH;D3;+0:3].[OH;D1;+0:4]>>[CH3;D1;+0:2]-[O;H0;D2;+0:4].[CH;D2;+0:1].[CH;D3;+0:3],DM- set
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,MORPHINE,CODEINE,CHEMBL236,P41143,pIC50,6.63,5.0,=,<,BindingDB,BindingDB,DrugBank,1.2,1.5,52.93,41.93,0.915,0.897,membrane receptor  7tm1  peptide  short peptide  opioid receptor,[CH;D2;+0:1]=[CH;D2;+0:2]-[CH;D3;+0:3].[OH;D1;+0:4]>>[CH3;D1;+0:2]-[O;H0;D2;+0:4].[CH;D2;+0:1].[CH;D3;+0:3],DM- set
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,MORPHINE,CODEINE,CHEMBL237,P41145,pKi,7.08,5.0,=,<,Both,BindingDB,DrugBank,1.2,1.5,52.93,41.93,0.915,0.897,membrane receptor  7tm1  peptide  short peptide  opioid receptor,[CH;D2;+0:1]=[CH;D2;+0:2]-[CH;D3;+0:3].[OH;D1;+0:4]>>[CH3;D1;+0:2]-[O;H0;D2;+0:4].[CH;D2;+0:1].[CH;D3;+0:3],DM- set
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,MORPHINE,MORPHINE GLUCURONIDE,CHEMBL233,P35372,pKi,8.75,7.54,=,=,Both,BindingDB,Both,1.2,-0.89,52.93,149.15,0.915,0.647,membrane receptor  7tm1  peptide  short peptide  opioid receptor,[CH;D2;+0:1]=[CH;D2;+0:2]-[CH;D3;+0:3].[OH;D1;+0:4]>>[CH;D2;+0:1].[CH;D3;+0:3].[CH;D3;+0:2]-[O;H0;D2;+0:4],DM- set
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CODEINE,MORPHINE,CHEMBL233,P35372,pKi,6.59,8.75,=,=,BindingDB,Both,Both,1.5,1.2,41.93,52.93,0.897,0.915,membrane receptor  7tm1  peptide  short peptide  opioid receptor,C-[O;H0;D2;+0:1]>>[OH;D1;+0:1],DM+ set
